우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|45|0|3020012200104620008012175|||3020012200|궁동||온천2동|0|462|03|8||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|53|0|3020012200104710012012045|||3020012200|궁동||온천2동|0|471|03|12||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|13|0|3020012200104190005000001|||3020012200|궁동||온천2동|0|419|01|5||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|17|0|3020012200104190004011676|||3020012200|궁동||온천2동|0|419|01|4||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|14|0|3020012200104200001010729|||3020012200|궁동||온천2동|0|420|01|1||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|30|0|3020012200104120015010463|||3020012200|궁동||온천2동|0|412|01|15||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|6|0|3020012200104200007010354|||3020012200|궁동||온천2동|0|420|01|7||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|30|0|3020012200104070012011551|||3020012200|궁동||온천2동|0|407|01|12||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|7|0|3020012200104060007000001|||3020012200|궁동||온천2동|0|406|01|7||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|15|0|3020012200104060005010212|||3020012200|궁동||온천2동|0|406|01|5||
